Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Zambia,ZMB,2003,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,5.63
Zambia,ZMB,2002,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,5.77
Zambia,ZMB,2001,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,5.96
Zambia,ZMB,2000,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,5.96
Zambia,ZMB,2023,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,27.1
Zambia,ZMB,2022,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,26.7
Zambia,ZMB,2021,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,26.4
Zambia,ZMB,2020,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,26.2
Zambia,ZMB,2019,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,26.2
Zambia,ZMB,2018,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,26.2
Zambia,ZMB,2017,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,26.1
Zambia,ZMB,2016,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,26.2
Zambia,ZMB,2015,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,26.2
Zambia,ZMB,2014,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,26.3
Zambia,ZMB,2013,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,26.3
Zambia,ZMB,2012,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,26.5
Zambia,ZMB,2011,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,26.8
Zambia,ZMB,2010,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,27.3
Zambia,ZMB,2009,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,27.8
Zambia,ZMB,2008,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,28.5
Zambia,ZMB,2007,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,29.3
Zambia,ZMB,2006,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,30.1
Zambia,ZMB,2005,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,31
Zambia,ZMB,2004,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,31.9
Zambia,ZMB,2003,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,32.9
Zambia,ZMB,2002,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,33.9
Zambia,ZMB,2001,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,35
Zambia,ZMB,2000,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,36.2
Zambia,ZMB,2019,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,55.1
Zambia,ZMB,2018,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,54.9
Zambia,ZMB,2017,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,54.6
Zambia,ZMB,2016,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,54.4
Zambia,ZMB,2015,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,54.2
Zambia,ZMB,2014,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,53.9
Zambia,ZMB,2013,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,53.9
Zambia,ZMB,2012,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,54
Zambia,ZMB,2011,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,54
Zambia,ZMB,2010,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,54.3
Zambia,ZMB,2009,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,55
Zambia,ZMB,2008,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,55.8
Zambia,ZMB,2007,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,56.6
Zambia,ZMB,2006,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,57.6
Zambia,ZMB,2005,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,58.7
Zambia,ZMB,2004,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,59.9
Zambia,ZMB,2003,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,61.2
Zambia,ZMB,2002,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,62.6
Zambia,ZMB,2001,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,64.2
Zambia,ZMB,2000,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,65.6
Zambia,ZMB,2023,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,26.2
Zambia,ZMB,2022,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,25.8
Zambia,ZMB,2021,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,25.5
Zambia,ZMB,2020,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,25.3
Zambia,ZMB,2019,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,25.2
Zambia,ZMB,2018,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,25.2
Zambia,ZMB,2017,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,25.1
Zambia,ZMB,2016,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,25.1
Zambia,ZMB,2015,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,25.1
Zambia,ZMB,2014,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,25.1
Zambia,ZMB,2013,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,25.1
Zambia,ZMB,2012,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,25.2
Zambia,ZMB,2011,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,25.5
Zambia,ZMB,2010,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,26
Zambia,ZMB,2009,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,26.5
Zambia,ZMB,2008,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,27.1
Zambia,ZMB,2007,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,27.9
Zambia,ZMB,2006,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,28.7
Zambia,ZMB,2005,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,29.6
Zambia,ZMB,2004,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,30.5
Zambia,ZMB,2003,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,31.5
Zambia,ZMB,2002,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,32.5
Zambia,ZMB,2001,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,33.7
Zambia,ZMB,2000,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,34.9
Zambia,ZMB,2014,"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,20.2
Zambia,ZMB,2007,"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,17.3
Zambia,ZMB,2002,"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,16.5
Zambia,ZMB,1996,"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,11.4
Zambia,ZMB,2014,"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,42.1
Zambia,ZMB,2007,"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,38.8
Zambia,ZMB,2002,"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,35.9
Zambia,ZMB,1996,"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,33.9
Zambia,ZMB,2021,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,58.8379642951577
Zambia,ZMB,2020,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,61.4353621822815
Zambia,ZMB,2019,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,63.55778473389
Zambia,ZMB,2015,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,67.1858442955037
Zambia,ZMB,2010,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,71.9268858126433
Zambia,ZMB,2000,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,82.3536222307703
Zambia,ZMB,2024,Number of infant deaths,SH.DTH.IMRT,23802
Zambia,ZMB,2023,Number of infant deaths,SH.DTH.IMRT,23706
Zambia,ZMB,2022,Number of infant deaths,SH.DTH.IMRT,23606
Zambia,ZMB,2021,Number of infant deaths,SH.DTH.IMRT,23405
